image_id,filepath,source_module,volunteer,seq,bytes,sha256,released_view
PUFA_training_V01_S01,data/raw/PUFA_training/PUFA_training_V01_S01.jpeg,PUFA_training,1,1,101315,19c11e1624279f9a0671720f0d5a26dd0a685d9a2b2764f91664a2397196d595,
PUFA_training_V06_S01,data/raw/PUFA_training/PUFA_training_V06_S01.jpeg,PUFA_training,6,1,45706,5403cc75d2ff9bef4f2481c8a2ffa470b9d1cf854567b400d69d2c72ae397cd8,
PUFA_training_V07_S01,data/raw/PUFA_training/PUFA_training_V07_S01.jpeg,PUFA_training,7,1,30794,68c6a67380bdc1d53ddd4f90ce4a6efdf4923bb89a156cc9c422e959b9e6dae3,
PUFA_training_V08_S01,data/raw/PUFA_training/PUFA_training_V08_S01.jpeg,PUFA_training,8,1,34302,42901174e3ea14f2bd29a14509085082710ca077c04c1833215f3a7ba1747258,
PUFA_training_V09_S01,data/raw/PUFA_training/PUFA_training_V09_S01.jpeg,PUFA_training,9,1,75116,ce2cb5ff154194153e36b641caffa5b8b854e25bd5aae092cc21d9f022319855,
PUFA_training_V10_S01,data/raw/PUFA_training/PUFA_training_V10_S01.jpeg,PUFA_training,10,1,63195,774f68612857b4fd78f784f4708dc748ccafd1319ed4e5365dc1da0fd960bde0,
deciduous_dentition_ceod_V01_S01,data/raw/deciduous_dentition_ceod/deciduous_dentition_ceod_V01_S01.jpeg,deciduous_dentition_ceod,1,1,152060,2d4c870ada009c660219b8895d5dc7f161b0c84e2b9473f36f42dd031cc20733,
deciduous_dentition_ceod_V01_S02,data/raw/deciduous_dentition_ceod/deciduous_dentition_ceod_V01_S02.jpeg,deciduous_dentition_ceod,1,2,180277,7a736396236cda0c045c3a07ac002194638187f388f709fe5073fc0e9ebb887c,
deciduous_dentition_ceod_V01_S03,data/raw/deciduous_dentition_ceod/deciduous_dentition_ceod_V01_S03.jpeg,deciduous_dentition_ceod,1,3,64018,d5867cf67f3ae3b1c724781efbfc03585d27e57a6659f391cd73ede1728a6220,
deciduous_dentition_ceod_V01_S04,data/raw/deciduous_dentition_ceod/deciduous_dentition_ceod_V01_S04.jpeg,deciduous_dentition_ceod,1,4,150790,0567d2641a6be9930230a31bdecf1c8fef23a6e9a19353323a753a0a5663301f,
deciduous_dentition_ceod_V01_S05,data/raw/deciduous_dentition_ceod/deciduous_dentition_ceod_V01_S05.jpeg,deciduous_dentition_ceod,1,5,165235,5b078398064f352a4ea6ddf2bc81487eda345cefcf600aed051b8db3b78ba3a9,
deciduous_dentition_ceod_V01_S06,data/raw/deciduous_dentition_ceod/deciduous_dentition_ceod_V01_S06.jpeg,deciduous_dentition_ceod,1,6,160699,7e39a0c95b91c8ae4d5b8092afdf72289885f80b5fafc1784ee0da8627db54a8,
deciduous_dentition_ceod_V01_S07,data/raw/deciduous_dentition_ceod/deciduous_dentition_ceod_V01_S07.jpeg,deciduous_dentition_ceod,1,7,117164,b881ca5cd5ea379430641e009317e69130fcd51bb6c46cf156e3f825c6440b24,
deciduous_dentition_ceod_V01_S08,data/raw/deciduous_dentition_ceod/deciduous_dentition_ceod_V01_S08.jpeg,deciduous_dentition_ceod,1,8,125804,2b90788c78eb69377d2cd48456a41d9fc9539121ef9067e8c8ccf0bde6f64676,
deciduous_dentition_ceod_V02_S01,data/raw/deciduous_dentition_ceod/deciduous_dentition_ceod_V02_S01.jpeg,deciduous_dentition_ceod,2,1,124140,7c9ffdcd70020c084320db7018f35060f0bd9a24bb477d892cf565dbab553e52,
deciduous_dentition_ceod_V02_S02,data/raw/deciduous_dentition_ceod/deciduous_dentition_ceod_V02_S02.jpeg,deciduous_dentition_ceod,2,2,100757,0a29d9a2a6c42871c4087f973c1199344e0b36f7f7d1dbfdf2d4deace2427e39,
deciduous_dentition_ceod_V02_S03,data/raw/deciduous_dentition_ceod/deciduous_dentition_ceod_V02_S03.jpeg,deciduous_dentition_ceod,2,3,94863,26acda692b3a4349aff19801220a629eafa4cd319acd3fe5ae471d54bafbec0e,
deciduous_dentition_ceod_V02_S04,data/raw/deciduous_dentition_ceod/deciduous_dentition_ceod_V02_S04.jpeg,deciduous_dentition_ceod,2,4,86131,e371f8f7f84ad4f9ce1029bebbbabf0934d13d1805761fc76aca976b8466e608,
deciduous_dentition_ceod_V02_S05,data/raw/deciduous_dentition_ceod/deciduous_dentition_ceod_V02_S05.jpeg,deciduous_dentition_ceod,2,5,105903,e29db5cdcbf058c7ce3f1eb5dcb04e74a106b0eb3e2a6c5fad9ad0241c348fab,
deciduous_dentition_ceod_V02_S06,data/raw/deciduous_dentition_ceod/deciduous_dentition_ceod_V02_S06.jpeg,deciduous_dentition_ceod,2,6,91781,86245ceef6a195b9b4efa1dbe497edb2de33a33b71304f20cde44edbe0fec095,
