image_id,filepath,source_module,volunteer,seq,bytes,sha256,released_view,volunteer_id
permanent_dentition_DAI_V01_S01,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V01_S01.jpeg,permanent_dentition_DAI,1,1,152508,ea113dbacce3c461c2abaccd6655d48d368d172b7a4bfe354fe48aea06ffff26,occlusal,DAI_V01
permanent_dentition_DAI_V01_S02,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V01_S02.jpeg,permanent_dentition_DAI,1,2,160278,cea86225aff01b597dcf5b71019be593649775a7b8ba4f34b07646a5753fce90,occlusal,DAI_V01
permanent_dentition_DAI_V01_S03,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V01_S03.jpeg,permanent_dentition_DAI,1,3,158285,1fdabe421a922bad2168b165ac5a6db25e067a4e100a0ffe131137388269ee93,occlusal,DAI_V01
permanent_dentition_DAI_V01_S04,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V01_S04.jpeg,permanent_dentition_DAI,1,4,88226,3f1f43808706d2a129d6b40480a7ba58615b8a333b8a7b4f1b8a25f034d62cbf,occlusal,DAI_V01
permanent_dentition_DAI_V01_S05,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V01_S05.jpeg,permanent_dentition_DAI,1,5,128121,0bb1c62fe60ef71810bcfef446236ceb1cac797426eb0019957241f3bf8deab7,occlusal,DAI_V01
permanent_dentition_DAI_V01_S06,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V01_S06.jpeg,permanent_dentition_DAI,1,6,121969,849a435098015d541387ce2a03946fc86db4bcefbee65a0f442018fd58016489,occlusal,DAI_V01
permanent_dentition_DAI_V01_S07,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V01_S07.jpeg,permanent_dentition_DAI,1,7,121268,cca9b7310e40b8c5449c21e8102a365f0fc54a641f485cf1196689e85c793557,occlusal,DAI_V01
permanent_dentition_DAI_V01_S08,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V01_S08.jpeg,permanent_dentition_DAI,1,8,154971,dd0549cc6414d8eb16bcff26eb1b0d3090b0df83a5aaec6adbe69516573d2fc7,occlusal,DAI_V01
permanent_dentition_DAI_V01_S09,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V01_S09.jpeg,permanent_dentition_DAI,1,9,153452,d01732e4066124c49901c16e1f29c1929c0aee40b7e1808dd4ffbce6a00b43ac,occlusal,DAI_V01
permanent_dentition_DAI_V01_S10,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V01_S10.jpeg,permanent_dentition_DAI,1,10,149792,86bd1c5c3f2f36fa32bbdfa76604e26c58a96c4d0400b02cb4e833defa6f86ef,occlusal,DAI_V01
permanent_dentition_DAI_V01_S11,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V01_S11.jpeg,permanent_dentition_DAI,1,11,164022,16a61b6db6ecef9f8732446e4b3d99a8d85d263da39c7ea31975a79a4367a6fc,occlusal,DAI_V01
permanent_dentition_DAI_V01_S12,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V01_S12.jpeg,permanent_dentition_DAI,1,12,148136,efad178f26c07f80df3a9aca9b852b67e7ed6223831ab98b8b99eb5ecf5c31fb,occlusal,DAI_V01
permanent_dentition_DAI_V02_S01,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V02_S01.jpeg,permanent_dentition_DAI,2,1,143126,a870a4a60af52a326264063f8db6501c3b084f061d8a1b1266582dfb969c1aa3,frontal,DAI_V02
permanent_dentition_DAI_V02_S02,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V02_S02.jpeg,permanent_dentition_DAI,2,2,136416,9e831b9058ee471a4837a6cdd0a0f461db608d07717a833f51ecfde5630d4af5,frontal,DAI_V02
permanent_dentition_DAI_V02_S03,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V02_S03.jpeg,permanent_dentition_DAI,2,3,180347,a8c3d4600b39a7cbe6bc465ae23345b70ad90108a0af42cfdc3a28812239a702,frontal,DAI_V02
permanent_dentition_DAI_V02_S04,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V02_S04.jpeg,permanent_dentition_DAI,2,4,164629,71b1b6b44698c7db8448b40706e8197abcacce77f3000e9260dbc59adeb0f137,frontal,DAI_V02
permanent_dentition_DAI_V02_S05,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V02_S05.jpeg,permanent_dentition_DAI,2,5,109773,c37042c80b4e5ce23588867d71b2ac8671b3c8a786dce71b423b3a347fda53b6,frontal,DAI_V02
permanent_dentition_DAI_V02_S06,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V02_S06.jpeg,permanent_dentition_DAI,2,6,111936,5a0dd4971e76a5a1ef3c3d2d91b23060f395c0ae8c2423deb5b85c968798acdb,occlusal,DAI_V02
